ci_name,ci,namespace,guid,url,status,provisioning_date,auto_stop,auto_destroy,timestamp,error_message
Experience OpenShift Virtualization Roadshow,openshift-cnv.ocp-virt-roadshow-multi-user.prod,user-bbethell-redhat-com,openshift-cnv.ocp-virt-roadshow-multi-user.prod-dryrun-1770679404,https://integration.demo.redhat.com/workshops/user-bbethell-redhat-com/openshift-cnv.ocp-virt-roadshow-multi-user.prod-1770679404,verified,15/02/2026 11:00,15/02/2026 19:00,17/02/2026 11:00,2026-02-09 15:23:24,
Ansible Network Automation Lab,zt-ansiblebu.ansible-network-automation-basics-lab-2.event,user-bbethell-redhat-com,zt-ansiblebu.ansible-network-automation-basics-lab-2.event-dryrun-1770679404,https://integration.demo.redhat.com/workshops/user-bbethell-redhat-com/zt-ansiblebu.ansible-network-automation-basics-lab-2.event-1770679404,verified,16/02/2026 09:00,16/02/2026 17:00,18/02/2026 09:00,2026-02-09 15:23:24,
Ansible Network Automation Lab,zt-ansiblebu.ansible-network-automation-basics-lab-2.event,user-bbethell-redhat-com,zt-ansiblebu.ansible-network-automation-basics-lab-2.event-dryrun-1770679404,https://integration.demo.redhat.com/workshops/user-bbethell-redhat-com/zt-ansiblebu.ansible-network-automation-basics-lab-2.event-1770679404,verified,16/02/2026 09:00,16/02/2026 17:00,18/02/2026 09:00,2026-02-09 15:23:24,
OpenShift AI Workshop,openshift-ai.ai-workshop-multi-user.prod,user-bbethell-redhat-com,openshift-ai.ai-workshop-multi-user.prod-dryrun-1770679404,https://integration.demo.redhat.com/workshops/user-bbethell-redhat-com/openshift-ai.ai-workshop-multi-user.prod-1770679404,verified,17/02/2026 10:00,17/02/2026 18:00,19/02/2026 10:00,2026-02-09 15:23:24,
OpenShift AI Workshop,openshift-ai.ai-workshop-multi-user.prod,user-bbethell-redhat-com,openshift-ai.ai-workshop-multi-user.prod-dryrun-1770679404,https://integration.demo.redhat.com/workshops/user-bbethell-redhat-com/openshift-ai.ai-workshop-multi-user.prod-1770679404,verified,17/02/2026 10:00,17/02/2026 18:00,19/02/2026 10:00,2026-02-09 15:23:24,
Virt Roadshow Asset,openshift-cnv.ocp-virt-roadshow-multi-user.prod,user-bbethell-redhat-com,failed,,failed,19/02/2026 10:00,19/02/2026 18:00,21/02/2026 10:00,2026-02-09 15:23:24,Failed to create MultiWorkshop
Ansible Lab Asset,zt-ansiblebu.ansible-network-automation-basics-lab-2.event,user-bbethell-redhat-com,failed,,failed,19/02/2026 10:00,19/02/2026 18:00,21/02/2026 10:00,2026-02-09 15:23:24,Failed to create MultiWorkshop
