actual_start,actual_stop,actual_users,ci,ci_name,deployed,expected_destroy,expected_provisioning,expected_stop,expected_users,healthy,issues,matches_schedule,namespace,ready,resourceclaim_name,scheduled,status,url
,,0,openshift-cnv.ocp-virt-roadshow-multi-user.prod,Experience OpenShift Virtualization Roadshow,Yes,12/02/26 11:00,09/02/2026 11:00,09/02/26 18:00,20,False,"User count mismatch: expected 20, got 0",No,user-bbethell-redhat-com,False,openshift-cnv.ocp-virt-roadshow-multi-user.prod-72lz9,Yes,❌ FAILED,https://integration.demo.redhat.com/workshops/user-bbethell-redhat-com/openshift-cnv.ocp-virt-roadshow-multi-user.prod-72lz9
2026-02-09T10:22:35Z,2026-02-09T16:22:32Z,20,openshift-cnv.ocp-virt-roadshow-multi-user.prod,Experience OpenShift Virtualization Roadshow,Yes,12/02/26 11:00,09/02/2026 11:00,09/02/26 18:00,20,True,,Yes,user-bbethell-redhat-com,False,openshift-cnv.ocp-virt-roadshow-multi-user.prod-nll2b,Yes,⚠️  HEALTHY (not ready),https://integration.demo.redhat.com/workshops/user-bbethell-redhat-com/openshift-cnv.ocp-virt-roadshow-multi-user.prod-nll2b
