Code,Title,Location,Date,Start Time,End Time,Catalog URL,Device Type
OPENSH,Experience OpenShift Virtualization Roadshow,TBD,02/09/2026,11:00,18:00,https://integration.demo.redhat.com/workshop/zwnqpc,laptop
MULTI-,Multi-Asset Workshop Test,TBD,02/09/2026,11:00,18:00,https://integration.demo.redhat.com/multi-workshop/user-bbethell-redhat-com/test-qvvdw,laptop
OPENSH,Experience OpenShift Virtualization Roadshow,TBD,TBD,TBD,TBD,https://integration.demo.redhat.com/workshop/zwnqpc,laptop
MULTI-,Multi-Asset Workshop Test,TBD,TBD,TBD,TBD,https://integration.demo.redhat.com/multi-workshop/user-bbethell-redhat-com/test-qvvdw,laptop
