actual_count,actual_start,actual_stop,actual_users,auto_destroy,auto_stop,ci,ci_name,deployed,expected_destroy,expected_provisioning,expected_stop,expected_users,healthy,issues,landing_page_url,link_to_service,matches_schedule,namespace,provisioning_date,ready,resourceclaim_name,resourceclaims,scheduled,status
,2026-02-09T11:00:00Z,2026-02-09T18:00:00Z,20,,,openshift-cnv.ocp-virt-roadshow-multi-user.prod,Experience OpenShift Virtualization Roadshow,Yes,12/02/26 11:00,09/02/2026 11:00,09/02/26 18:00,20,True,,https://integration.demo.redhat.com/workshop/zwnqpc,https://integration.demo.redhat.com/workshops/user-bbethell-redhat-com/openshift-cnv.ocp-virt-roadshow-multi-user.prod-cxt4r,Yes,user-bbethell-redhat-com,,False,openshift-cnv.ocp-virt-roadshow-multi-user.prod-c2h7c,,Yes,⚠️  HEALTHY (not ready)
2,,,,12/02/26 11:00,09/02/26 18:00,multi-asset-test,Multi-Asset Workshop Test,Yes,,,,2,True,,https://integration.demo.redhat.com/multi-workshop/user-bbethell-redhat-com/test-qvvdw,https://integration.demo.redhat.com/multi-workshop/user-bbethell-redhat-com/test-qvvdw,Yes,user-bbethell-redhat-com,09/02/2026 11:00,True,test-qvvdw,['test-qvvdw'],Yes,✅ MULTI-WORKSHOP
