actual_seats,ci,ci_name,deployed,expected_seats,healthy,landing_page_url,link_to_service,namespace,provisioned,ready,resourceclaim_name,scheduled,seats_match,status
20,openshift-cnv.ocp-virt-roadshow-multi-user.prod,Experience OpenShift Virtualization Roadshow,Yes,20,True,https://integration.demo.redhat.com/workshop/zwnqpc,https://integration.demo.redhat.com/workshops/user-bbethell-redhat-com/openshift-cnv.ocp-virt-roadshow-multi-user.prod-cxt4r,user-bbethell-redhat-com,True,False,openshift-cnv.ocp-virt-roadshow-multi-user.prod-c2h7c,Yes,Yes,⚠️  DEPLOYED (not ready)
2,multi-asset-test,Multi-Asset Workshop Test,Yes,2,True,https://integration.demo.redhat.com/multi-workshop/user-bbethell-redhat-com/test-qvvdw,https://integration.demo.redhat.com/multi-workshop/user-bbethell-redhat-com/test-qvvdw,user-bbethell-redhat-com,True,True,test-qvvdw,Yes,Yes,✅ MULTI-WORKSHOP
